date,oil_price
2026-01-12,51.95
2026-01-13,50.82
2026-01-14,52.19
2026-01-15,53.01
2026-01-16,52.36
2026-01-19,
2026-01-20,52.45
2026-01-21,51.12
2026-01-22,51.39
2026-01-23,52.33
2026-01-26,52.77
2026-01-27,52.38
2026-01-28,52.14
2026-01-29,53.24
2026-01-30,53.18
2026-02-02,52.63
2026-02-03,52.75
2026-02-04,53.9
2026-02-05,53.55
2026-02-06,53.81
2026-02-09,53.01
2026-02-10,52.19
2026-02-11,52.37
2026-02-12,52.99
2026-02-13,53.84
2026-02-16,52.96
2026-02-17,53.21
2026-02-18,53.11
2026-02-19,53.41
2026-02-20,53.41
2026-02-23,
2026-02-24,54.02
2026-02-25,53.61
2026-02-26,54.48
2026-02-27,53.99
2026-03-02,54.04
2026-03-03,54.0
2026-03-04,53.82
2026-03-05,52.63
2026-03-06,53.33
2026-03-09,53.19
2026-03-10,52.68
2026-03-11,49.83
2026-03-12,48.75
2026-03-13,48.05
2026-03-16,47.95
2026-03-17,47.24
2026-03-18,48.34
2026-03-19,48.3
2026-03-20,48.34
2026-03-23,47.79
2026-03-24,47.02
2026-03-25,47.29
2026-03-26,47.0
2026-03-27,47.3
2026-03-30,47.02
2026-03-31,48.36
2026-04-01,49.47
2026-04-02,50.3
2026-04-03,50.54
2026-04-06,50.25
2026-04-07,50.99
2026-04-08,51.14
2026-04-09,51.69
2026-04-10,52.25
2026-04-13,53.06
2026-04-14,53.38
2026-04-15,53.12
2026-04-16,53.19
2026-04-17,
2026-04-20,52.62
2026-04-21,52.46
2026-04-22,50.49
2026-04-23,50.26
2026-04-24,49.64
2026-04-27,48.9
2026-04-28,49.22
2026-04-29,49.22
2026-04-30,48.96
2026-05-01,49.31
2026-05-04,48.83
2026-05-05,47.65
2026-05-06,47.79
2026-05-07,45.55
2026-05-08,46.23
2026-05-11,46.46
2026-05-12,45.84
2026-05-13,47.28
2026-05-14,47.81
2026-05-15,47.83
2026-05-18,48.86
2026-05-19,48.64
2026-05-20,49.04
2026-05-21,49.36
2026-05-22,50.32
2026-05-25,50.81
2026-05-26,51.12
2026-05-27,50.99
2026-05-28,48.57
2026-05-29,49.58
2026-06-01,
2026-06-02,49.63
2026-06-03,48.29
2026-06-04,48.32
2026-06-05,47.68
2026-06-08,47.4
2026-06-09,48.13
2026-06-10,45.8
2026-06-11,45.68
2026-06-12,45.82
2026-06-15,46.1
2026-06-16,46.41
2026-06-17,44.79
2026-06-18,44.47
2026-06-19,44.73
2026-06-22,44.24
2026-06-23,43.34
2026-06-24,42.48
2026-06-25,42.53
2026-06-26,42.86
2026-06-29,43.24
2026-06-30,44.25
2026-07-01,44.74
2026-07-02,44.88
2026-07-03,46.02
2026-07-06,
2026-07-07,
2026-07-08,45.11
2026-07-09,45.52
2026-07-10,44.25
2026-07-13,44.4
2026-07-14,45.06
2026-07-15,45.48
2026-07-16,46.06
2026-07-17,46.53
2026-07-20,46.02
2026-07-21,46.4
2026-07-22,47.1
2026-07-23,46.73
2026-07-24,45.78
2026-07-27,46.21
2026-07-28,47.77
2026-07-29,48.58
2026-07-30,49.05
2026-07-31,49.72
2026-08-03,50.21
2026-08-04,49.19
2026-08-05,49.6
2026-08-06,49.03
