product_id,product_family,product_class,is_perishable
106716,GROCERY I,1032,0
108797,GROCERY I,1004,0
111223,GROCERY I,1034,0
114790,GROCERY I,1004,0
115267,CLEANING,3034,0
115611,GROCERY I,1014,0
115720,GROCERY I,1084,0
115892,GROCERY I,1016,0
115893,GROCERY I,1016,0
115894,GROCERY I,1016,0
116017,GROCERY I,1072,0
123601,GROCERY I,1072,0
129297,GROCERY I,1032,0
129635,DAIRY,2112,1
153267,GROCERY I,1096,0
158788,CLEANING,3044,0
158956,CLEANING,3038,0
162066,GROCERY I,1048,0
164088,DAIRY,2116,1
164647,CLEANING,3032,0
165550,BEVERAGES,1124,0
165594,GROCERY I,1014,0
165693,GROCERY I,1066,0
165704,GROCERY I,1016,0
165718,BREAD/BAKERY,2718,1
165988,GROCERY I,1072,0
173111,GROCERY I,1058,0
177395,GROCERY I,1032,0
179615,DAIRY,2112,1
205387,GROCERY I,1034,0
208384,EGGS,2502,1
208514,GROCERY I,1010,0
211203,GROCERY I,1072,0
211205,GROCERY I,1072,0
213066,GROCERY I,1074,0
213652,GROCERY I,1048,0
214381,CLEANING,3032,0
215303,GROCERY I,1026,0
215331,GROCERY I,1040,0
215352,GROCERY I,1016,0
222879,GROCERY I,1058,0
223434,GROCERY I,1032,0
258396,GROCERY I,1010,0
261052,GROCERY I,1072,0
261053,GROCERY I,1072,0
261700,GROCERY I,1048,0
265237,GROCERY I,1060,0
265254,GROCERY I,1016,0
265279,BREAD/BAKERY,2718,1
265559,GROCERY I,1072,0
268664,GROCERY I,1028,0
268676,GROCERY I,1062,0
268834,GROCERY I,1056,0
269036,BEVERAGES,1122,0
273528,PERSONAL CARE,4114,0
308726,GROCERY I,1084,0
314384,GROCERY I,1004,0
314393,CLEANING,3032,0
314570,CLEANING,3024,0
314880,CLEANING,3034,0
315176,BEVERAGES,1124,0
315220,GROCERY I,1014,0
315221,GROCERY I,1014,0
315277,GROCERY I,1040,0
315320,GROCERY I,1066,0
315322,GROCERY I,1084,0
315460,GROCERY I,1016,0
315474,BREAD/BAKERY,2718,1
320682,GROCERY I,1080,0
323013,GROCERY I,1058,0
323921,PERSONAL CARE,4114,0
346065,GROCERY I,1039,0
355090,GROCERY I,1024,0
358231,CLEANING,3038,0
358232,CLEANING,3038,0
358272,DAIRY,2112,1
362548,GROCERY I,1042,0
364606,GROCERY I,1014,0
364724,GROCERY I,1084,0
364738,BEVERAGES,1124,0
368136,GROCERY I,1040,0
368260,GROCERY I,1028,0
371130,CLEANING,3046,0
373152,PERSONAL CARE,4114,0
401817,GROCERY I,1078,0
402174,GROCERY I,1096,0
409738,BREAD/BAKERY,2708,1
410257,GROCERY I,1072,0
413987,CLEANING,3034,0
414353,GROCERY I,1014,0
414426,GROCERY I,1040,0
414454,GROCERY I,1084,0
414455,GROCERY I,1084,0
414621,GROCERY I,1016,0
414623,GROCERY I,1016,0
414750,GROCERY I,1072,0
414752,GROCERY I,1072,0
418235,BEVERAGES,1122,0
457688,CLEANING,3038,0
457928,POULTRY,2416,1
459762,BREAD/BAKERY,2708,1
459804,GROCERY I,1086,0
463598,CLEANING,3024,0
463901,CLEANING,3034,0
464263,GROCERY I,1014,0
464336,GROCERY I,1040,0
464339,GROCERY I,1040,0
464374,BEVERAGES,1124,0
467887,GROCERY I,1076,0
471980,GROCERY I,1058,0
502331,BREAD/BAKERY,2702,1
507870,GROCERY I,1084,0
513855,CLEANING,3034,0
514172,BEVERAGES,1124,0
517615,GROCERY I,1074,0
518091,BEVERAGES,1122,0
518094,BEVERAGES,1122,0
521818,GROCERY I,1058,0
554049,GROCERY I,1045,0
557256,EGGS,2502,1
557257,EGGS,2502,1
557285,DELI,2630,1
557408,DAIRY,2142,1
557810,GROCERY I,1084,0
559494,BREAD/BAKERY,2708,1
559870,GROCERY I,1072,0
559873,GROCERY I,1072,0
564110,GROCERY I,1066,0
564272,GROCERY I,1016,0
564274,GROCERY I,1016,0
564287,BREAD/BAKERY,2718,1
564533,GROCERY I,1012,0
564534,GROCERY I,1012,0
567588,GROCERY I,1062,0
567623,GROCERY I,1040,0
567750,GROCERY I,1056,0
580929,GROCERY I,1004,0
581078,CLEANING,3038,0
587069,GROCERY I,1004,0
621300,GROCERY I,1040,0
627263,GROCERY I,1026,0
648313,CLEANING,3020,0
655427,CLEANING,3020,0
